-DOCSTART- -X- O
NOREPINEFRINA -X- _ B-ACTIVE_PRINCIPLE
TARTRATO -X- _ I-ACTIVE_PRINCIPLE
1 -X- _ B-FORMA_FARMA
mg/ml -X- _ I-FORMA_FARMA
( -X- _ I-FORMA_FARMA
4mL -X- _ I-FORMA_FARMA
) -X- _ I-FORMA_FARMA
solución -X- _ I-FORMA_FARMA
para -X- _ I-FORMA_FARMA
perfusión -X- _ I-FORMA_FARMA
7 -X- _ B-ADMIN
MG -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY

TRAMADOL -X- _ B-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
MG/ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
ORAL -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
10 -X- _ B-ADMIN
ML -X- _ I-ADMIN
0,2 -X- _ I-ADMIN
ML -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
15 -X- _ I-DURATION
dias -X- _ I-DURATION

PARACETAMOL -X- _ B-ACTIVE_PRINCIPLE
10 -X- _ B-FORMA_FARMA
mg/mL -X- _ I-FORMA_FARMA
solución -X- _ I-FORMA_FARMA
para -X- _ I-FORMA_FARMA
perfusión -X- _ I-FORMA_FARMA
(100 -X- _ I-FORMA_FARMA
mL) -X- _ I-FORMA_FARMA
850 -X- _ B-ADMIN
MG -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

HIDROCORTISONA -X- _ B-ACTIVE_PRINCIPLE
SUCCINATO -X- _ I-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
POLVO -X- _ I-FORMA_FARMA
LIOFILIZADO -X- _ I-FORMA_FARMA
PARA -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
2 -X- _ B-ADMIN
MG -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
6 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

PARACETAMOL -X- _ B-ACTIVE_PRINCIPLE
500 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
2 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
durante -X- _ B-DURATION
2 -X- _ I-DURATION
dias -X- _ I-DURATION

COLECALCIFEROL -X- _ B-ACTIVE_PRINCIPLE
800 -X- _ B-FORMA_FARMA
UI -X- _ I-FORMA_FARMA
SOLUCION -X- _ I-FORMA_FARMA
ORAL -X- _ I-FORMA_FARMA
PARA -X- _ I-FORMA_FARMA
GOTAS -X- _ I-FORMA_FARMA
1000 -X- _ B-ADMIN
FRASCO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY

DALTEPARINA -X- _ B-ACTIVE_PRINCIPLE
5000 -X- _ B-FORMA_FARMA
UI/0,2 -X- _ I-FORMA_FARMA
